Pokemon_Name,Pokemon_Tier,Level,HP_Percent,Status_Effect,Pokeball_Type,Catch_Result
Chansey,Rare,61,18,None,Ultra Ball,Escaped
Rayquaza,Legendary,86,12,None,Poke Ball,Escaped
Magikarp,Common,85,21,Sleep,Great Ball,Caught
Giratina,Legendary,78,99,Poison,Poke Ball,Escaped
Gible,Rare,74,80,Paralyze,Great Ball,Escaped
Gyarados,Rare,8,65,Paralyze,Ultra Ball,Caught
Scyther,Rare,49,37,None,Ultra Ball,Escaped
Bagon,Rare,63,20,Sleep,Great Ball,Caught
Magikarp,Common,39,43,Paralyze,Ultra Ball,Caught
Snorlax,Rare,48,69,Poison,Poke Ball,Escaped
Zigzagoon,Common,63,74,Sleep,Poke Ball,Escaped
Magikarp,Common,89,60,Paralyze,Ultra Ball,Caught
Bidoof,Common,66,5,Sleep,Ultra Ball,Caught
Caterpie,Common,50,84,None,Ultra Ball,Escaped
Poliwag,Common,59,68,None,Ultra Ball,Escaped
Caterpie,Common,68,8,Paralyze,Poke Ball,Caught
Magikarp,Common,24,71,Paralyze,Poke Ball,Caught
Magikarp,Common,84,43,Paralyze,Ultra Ball,Caught
Chansey,Rare,12,64,None,Ultra Ball,Escaped
Gyarados,Rare,4,30,Poison,Ultra Ball,Escaped
Zigzagoon,Common,29,41,Poison,Ultra Ball,Caught
Magikarp,Common,66,48,Sleep,Ultra Ball,Caught
Geodude,Common,85,97,None,Ultra Ball,Escaped
Caterpie,Common,85,43,Paralyze,Great Ball,Caught
Beldum,Rare,32,81,Paralyze,Poke Ball,Escaped
Lapras,Rare,68,2,None,Great Ball,Escaped
Larvitar,Rare,71,59,None,Great Ball,Escaped
Magikarp,Common,26,2,Sleep,Great Ball,Caught
Bidoof,Common,24,34,Sleep,Ultra Ball,Caught
Lapras,Rare,75,61,None,Poke Ball,Escaped
Poliwag,Common,19,25,Paralyze,Poke Ball,Caught
Arcanine,Rare,95,28,None,Poke Ball,Escaped
Zubat,Common,26,80,Sleep,Poke Ball,Escaped
Bagon,Rare,13,49,None,Great Ball,Escaped
Lapras,Rare,68,91,Sleep,Ultra Ball,Caught
Zigzagoon,Common,14,92,None,Ultra Ball,Escaped
Geodude,Common,78,41,Sleep,Poke Ball,Caught
Magikarp,Common,72,87,Poison,Poke Ball,Escaped
Bidoof,Common,16,94,Paralyze,Ultra Ball,Caught
Arcanine,Rare,45,32,Sleep,Poke Ball,Escaped
Lapras,Rare,99,59,Paralyze,Ultra Ball,Escaped
Rattata,Common,32,64,Paralyze,Ultra Ball,Caught
Arcanine,Rare,20,98,None,Ultra Ball,Escaped
Oddish,Common,59,36,None,Ultra Ball,Escaped
Snorlax,Rare,25,18,Paralyze,Ultra Ball,Caught
Caterpie,Common,94,45,None,Great Ball,Escaped
Oddish,Common,77,47,Paralyze,Poke Ball,Caught
Caterpie,Common,91,13,Sleep,Poke Ball,Caught
Zigzagoon,Common,42,70,None,Poke Ball,Escaped
